Outcome Date,Name,Species,Primary Breed,Sex,Primary Color,Age (Months),Altered,Altered before arrival,Outcome Type,Intake Date,Intake Type,length_of_stay,Intake Type Grouped
2021-01-01,Nova,Cat,Domestic Shorthair,Female,Brown,48,No,Yes,Adoption,2020-12-17,Owner/Guardian Surrender,15,Owner/Guardian Surrender
2021-01-01,Tinsel,Cat,Domestic Longhair,Female,Black,3,Yes,No,Adoption,2020-12-04,Stray,28,Stray
2021-01-01,Mustard,Cat,Domestic Shorthair,Male,Orange,5,Yes,No,Adoption,2020-12-03,Stray,29,Stray
2021-01-01,Dionne,Cat,Domestic Shorthair,Female,Grey,3,Yes,No,Adoption,2020-12-28,Stray,4,Stray
2021-01-01,Ranger,Cat,Domestic Shorthair,Female,Orange,2,Yes,No,Adoption,2020-10-25,Stray,68,Stray
2021-01-01,Siam,Cat,Domestic Shorthair,Male,Brown,2,Yes,No,Adoption,2020-11-27,Stray,35,Stray
2021-01-01,Tahiti,Cat,Domestic Shorthair,Female,Brown,2,Yes,No,Adoption,2020-11-27,Stray,35,Stray
2021-01-01,Pompeii,Cat,Domestic Shorthair,Male,Orange,2,Yes,No,Adoption,2020-11-27,Stray,35,Stray
2021-01-01,Granger,Cat,Domestic Shorthair,Female,Orange,2,Yes,No,Adoption,2020-10-25,Stray,68,Stray
2021-01-01,Mini,Cat,Domestic Shorthair,Female,Black,2,Yes,No,Adoption,2020-11-16,Stray,46,Stray
2021-01-01,Tiny,Cat,Domestic Shorthair,Female,Grey,2,Yes,No,Adoption,2020-11-16,Stray,46,Stray
2021-01-01,Lemonchello,Cat,Domestic Medium Hair,Female,Black,3,Yes,No,Adoption,2020-12-27,Stray,5,Stray
2021-01-01,Lemongrass,Cat,Domestic Medium Hair,Female,Black,3,Yes,No,Adoption,2020-12-27,Stray,5,Stray
2021-01-01,DJ,Cat,Domestic Shorthair,Female,Black,2,Yes,No,Adoption,2020-11-08,Stray,54,Stray
2021-01-01,Michelle,Cat,Domestic Shorthair,Female,Black,2,Yes,No,Adoption,2020-11-08,Stray,54,Stray
2021-01-01,Lemondrop,Cat,Domestic Medium Hair,Female,Black,3,Yes,No,Adoption,2020-12-27,Stray,5,Stray
