Outcome Date,Name,Species,Primary Breed,Sex,Primary Color,Age (Months),Altered,Altered before arrival,Outcome Type,Intake Date,Intake Type,length_of_stay,Intake Type Grouped
2021-01-01,Bud,Dog,Mixed Breed (Medium),Male,Black,36,Yes,No,Adoption,2020-12-29,Return,3,Return
2021-01-01,Kiko,Dog,Mixed Breed (Medium),Male,Black,31,Yes,No,Return to Owner/Guardian,2021-01-01,Stray,0,Stray
2021-01-01,Boomer,Dog,Mixed Breed (Small),Male,White,84,Yes,No,Adoption,2020-12-26,Stray,6,Stray
2021-01-01,Opal,Dog,Mixed Breed (Medium),Female,Black,36,No,Yes,Adoption,2020-12-29,Transfer In,3,Transfer In
2021-01-01,Ember,Dog,Mixed Breed (Medium),Female,White,48,Yes,No,Adoption,2020-12-26,Stray,6,Stray
2021-01-02,Posey,Dog,Mixed Breed (Large),Female,Tan,15,Yes,No,Return to Owner/Guardian,2020-11-25,Owner/Guardian Surrender,38,Owner/Guardian Surrender
2021-01-02,Bo,Dog,Mixed Breed (Large),Male,Brindle,15,Yes,No,Return to Owner/Guardian,2020-11-25,Owner/Guardian Surrender,38,Owner/Guardian Surrender
2021-01-02,Nala,Dog,Mixed Breed (Medium),Female,Brown,104,No,Yes,Adoption,2020-12-31,Owner/Guardian Surrender,2,Owner/Guardian Surrender
2021-01-02,Copper,Dog,Mixed Breed (Large),Male,Black,26,No,Yes,Adoption,2021-01-02,Owner/Guardian Surrender,0,Owner/Guardian Surrender
2021-01-02,Elizabeth Stuart,Dog,Mixed Breed (Medium),Female,Tan,61,Yes,No,Adoption,2020-11-23,Stray,40,Stray
2021-01-02,Molly,Dog,Mixed Breed (Medium),Female,White,7,Yes,No,Adoption,2020-12-26,Return,7,Return
2021-01-02,Brody,Dog,Mixed Breed (Large),Male,White,39,No,Yes,Adoption,2020-12-27,Stray,6,Stray
2021-01-03,Shilo,Dog,Mixed Breed (Large),Male,Black,81,No,Yes,Return to Owner/Guardian,2020-12-31,Stray,3,Stray
2021-01-03,Kylo,Dog,Mixed Breed (Medium),Male,Tan,26,No,Yes,Adoption,2021-01-01,Owner/Guardian Surrender,2,Owner/Guardian Surrender
2021-01-03,ChaCha,Dog,Mixed Breed (Large),Female,Brown,36,No,Yes,Adoption,2020-12-29,Transfer In,5,Transfer In
2021-01-03,Ky,Dog,Mixed Breed (Medium),Female,Tan,104,No,Yes,Adoption,2020-12-31,Owner/Guardian Surrender,3,Owner/Guardian Surrender
2021-01-03,Leah,Dog,Mixed Breed (Medium),Female,Brown,50,No,Yes,Adoption,2020-12-29,Owner/Guardian Surrender,5,Owner/Guardian Surrender
2021-01-03,Lily,Dog,Mixed Breed (Small),Female,White,84,Yes,No,Adoption,2020-12-28,Stray,6,Stray
2021-01-03,Camellia,Dog,Mixed Breed (Medium),Female,White,48,Yes,No,Return to Owner/Guardian,2021-01-03,Stray,0,Stray
2021-01-03,Gotham,Dog,Mixed Breed (Large),Male,Black,72,No,Yes,Return to Owner/Guardian,2021-01-02,Stray,1,Stray
2021-01-03,Donatello,Dog,Mixed Breed (Medium),Male,Tan,36,No,Yes,Adoption,2020-12-28,Stray,6,Stray
2021-01-04,Lucas,Dog,Mixed Breed (Medium),Male,Black,77,No,Yes,Adoption,2020-11-14,Return,51,Return
2021-01-04,Diesel Weasel,Dog,Mixed Breed (Medium),Male,Black,72,Yes,No,Adoption,2020-12-23,Owner/Guardian Surrender,12,Owner/Guardian Surrender
2021-01-04,Cheddar,Dog,Mixed Breed (Medium),Female,Black,54,Yes,No,Return to Owner/Guardian,2020-12-30,Stray,5,Stray
2021-01-04,Coco,Dog,Mixed Breed (Small),Female,Brown,2,Yes,No,Adoption,2021-01-03,Stray,1,Stray
2021-01-04,Pooh Bear,Dog,Mixed Breed (Small),Female,Brown,80,Yes,No,Return to Owner/Guardian,2021-01-01,Stray,3,Stray
2021-01-05,Wilbur,Dog,Mixed Breed (Medium),Male,Black,5,No,Yes,Adoption,2021-01-05,Return,0,Return
2021-01-05,Rooster,Dog,Mixed Breed (Medium),Male,Brown,30,No,Yes,Adoption,2021-01-05,Transfer In,0,Transfer In
2021-01-06,GiGi,Dog,Mixed Breed (Medium),Female,Black,14,Yes,No,Adoption,2021-01-02,Stray,4,Stray
2021-01-06,Kalani,Dog,Mixed Breed (Medium),Female,Brown,60,No,Yes,Adoption,2021-01-05,Transfer In,1,Transfer In
2021-01-06,Ivy,Dog,Mixed Breed (Medium),Female,Black,86,No,Yes,Adoption,2020-12-23,Owner/Guardian Surrender,14,Owner/Guardian Surrender
2021-01-06,Cherry,Dog,Mixed Breed (Medium),Female,Tan,4,Yes,No,Adoption,2020-12-18,Stray,19,Stray
2021-01-06,Cuz,Dog,Mixed Breed (Medium),Male,Black,32,No,Yes,Adoption,2021-01-05,Transfer In,1,Transfer In
2021-01-06,Evie,Dog,Mixed Breed (Medium),Female,Black,8,Yes,No,Adoption,2021-01-05,Transfer In,1,Transfer In
2021-01-06,Midnight,Dog,Mixed Breed (Medium),Male,Black,36,No,Yes,Adoption,2021-01-05,Transfer In,1,Transfer In
2021-01-06,Bud,Dog,Mixed Breed (Medium),Male,Black,36,Yes,No,Adoption,2021-01-04,Return,2,Return
2021-01-06,Miley,Dog,Mixed Breed (Large),Female,Black,18,No,Yes,Adoption,2020-12-31,Stray,6,Stray
2021-01-06,Popcorn,Dog,Mixed Breed (Medium),Male,Tan,12,Yes,No,Adoption,2020-12-31,Stray,6,Stray
2021-01-06,Chea,Dog,Mixed Breed (Medium),Female,Black,48,Yes,Yes,Adoption,2020-12-31,Stray,6,Stray
2021-01-06,Poppy,Dog,Mixed Breed (Medium),Female,Brindle,24,Yes,No,Adoption,2020-12-30,Stray,7,Stray
2021-01-07,Duke,Dog,Mixed Breed (Large),Male,Tan,108,No,Yes,Adoption,2020-12-29,Transfer In,9,Transfer In
2021-01-07,Kane,Dog,Mixed Breed (Medium),Male,Brown,5,Yes,No,Adoption,2021-01-02,Owner/Guardian Surrender,5,Owner/Guardian Surrender
2021-01-07,Cocoa,Dog,Mixed Breed (Large),Female,Brown,36,No,Yes,Adoption,2021-01-04,Owner/Guardian Surrender,3,Owner/Guardian Surrender
2021-01-07,Pluto,Dog,Mixed Breed (Medium),Male,Tan,6,Yes,No,Return to Owner/Guardian,2020-12-08,Owner/Guardian Surrender,30,Owner/Guardian Surrender
2021-01-07,Hayden,Dog,Mixed Breed (Medium),Male,Black,24,Yes,No,Adoption,2021-01-01,Stray,6,Stray
2021-01-07,Dante,Dog,Mixed Breed (Medium),Male,Tan,5,Yes,No,Adoption,2021-01-04,Stray,3,Stray
2021-01-07,Trevor,Dog,Mixed Breed (Small),Male,Tan,2,Yes,No,Adoption,2021-01-03,Stray,4,Stray
2021-01-07,Tyson,Dog,Mixed Breed (Small),Male,Tan,2,Yes,No,Adoption,2021-01-03,Stray,4,Stray
2021-01-07,Addilyn,Dog,Mixed Breed (Medium),Female,Black,17,Yes,No,Adoption,2021-01-01,Stray,6,Stray
2021-01-08,Aspen,Dog,Mixed Breed (Medium),Female,Brown,24,No,Yes,Adoption,2021-01-05,Transfer In,3,Transfer In
2021-01-08,Harley,Dog,Mixed Breed (Large),Male,Brindle,41,No,Yes,Adoption,2021-01-06,Owner/Guardian Surrender,2,Owner/Guardian Surrender
2021-01-08,Clover,Dog,Mixed Breed (Medium),Male,Black,19,No,Yes,Adoption,2021-01-05,Transfer In,3,Transfer In
2021-01-08,Simon,Dog,Mixed Breed (Medium),Male,Brown,24,No,Yes,Adoption,2020-12-29,Transfer In,10,Transfer In
2021-01-08,Ron,Dog,Mixed Breed (Medium),Male,Tan,18,Yes,No,Adoption,2021-01-02,Stray,6,Stray
2021-01-08,Gravy,Dog,Mixed Breed (Medium),Male,Black,38,No,Yes,Adoption,2021-01-04,Owner/Guardian Surrender,4,Owner/Guardian Surrender
2021-01-08,Charlie,Dog,Mixed Breed (Medium),Male,Brown,32,Yes,No,Adoption,2021-01-02,Stray,6,Stray
2021-01-08,Marble,Dog,Mixed Breed (Large),Male,Brown,12,Yes,No,Return to Owner/Guardian,2021-01-04,Stray,4,Stray
2021-01-08,Bella,Dog,Mixed Breed (Medium),Female,Black,78,No,Yes,Adoption,2021-01-07,Owner/Guardian Surrender,1,Owner/Guardian Surrender
2021-01-08,Larson,Dog,Mixed Breed (Large),Male,Black,53,No,Yes,Adoption,2021-01-01,Stray,7,Stray
2021-01-08,Bigley,Dog,Mixed Breed (Medium),Female,Brown,16,No,Yes,Return to Owner/Guardian,2021-01-08,Stray,0,Stray
2021-01-08,Lucy,Dog,Mixed Breed (Large),Female,White,96,No,Yes,Adoption,2021-01-05,Transfer In,3,Transfer In
